n,Laplacian2D|BOHRIUM,Biharmonic2D|BOHRIUM
8,0.00631157960742712,0.023119788081385196
16,0.001861783373169601,0.016024751216173173
32,0.0016889742808416485,0.016038522007875144
64,0.001827693940140307,0.0165913442382589
128,0.0019329523900523781,0.015964054991491138
256,0.0025165809085592626,0.01642555482685566
512,0.004701358592137694,0.018630767799913885
1024,0.01091488793026656,0.025899733905680476
2048,0.039802114269696175,0.05711171622388065
4096,0.15145090813748538,0.1807445409707725
8192,0.6123517688363791,0.6824024061206728
16384,3.180498337186873,3.4685311172856017
