n,Laplacian2D|JAX,Biharmonic2D|JAX
8,3.1376490369439125e-05,0.0004243329167366028
16,3.0032359063625336e-05,0.00041808909736573696
32,3.5339267924427986e-05,0.0004210157785564661
64,4.3089501559734344e-05,0.0004369437228888273
128,7.238565012812614e-05,0.000506967306137085
256,0.00018538953736424446,0.0007247317116707563
512,0.0005238237790763378,0.0011649515945464373
1024,0.0015548996161669493,0.003528497414663434
2048,0.008820416871458292,0.014412691351026297
4096,0.047639523167163134,0.10248248116113245
8192,0.18918001232668757,0.40697592007927597
16384,0.7472074839752167,1.5998517496045679
