n,Laplacian2D|JAX,Biharmonic2D|JAX
8,0.00021504797041416168,0.0009388187900185585
16,0.00021974090486764908,0.000935941468924284
32,0.00021135155111551285,0.0009799012914299965
64,0.00021705124527215958,0.0009505534544587135
128,0.00020252587273716927,0.0009552324190735817
256,0.00020430749282240868,0.000978119671344757
512,0.00022695399820804596,0.0009910939261317253
1024,0.0003108209930360317,0.0009980276226997375
2048,0.0008132071234285831,0.0018176441080868244
4096,0.0028802952729165554,0.005790424067527056
8192,0.010998630430549383,0.021140283439308405
