n,Laplacian2D|NUMPY,Biharmonic2D|NUMPY
8,1.0866671800613403e-05,2.83936969935894e-05
16,1.2034550309181213e-05,6.919610314071178e-05
32,1.6429461538791656e-05,4.0999846532940865e-05
64,3.3785123378038406e-05,7.856311276555061e-05
128,0.00012667430564761162,0.00025839218869805336
256,0.0004221666604280472,0.0010241775307804346
512,0.0015724902041256428,0.003904910758137703
1024,0.006068819668143988,0.015793273225426674
2048,0.039761054795235395,0.09518127236515284
4096,0.18967275437898934,0.4197898176498711
8192,0.7559189626481384,1.6717628045007586
16384,2.5817528660409153,5.860800790367648
