,2,4,6,8,10,12,14,16,18,20,22,24
2,"[[0.13713744, 0.0070259690999999996, 0.073987724], [0.0006476774261930094, 0.000274871243283269, 0.0002479328493443348]]","[[0.074129575, 0.004852044599999999, 0.039388003000000005], [0.0003360312229614984, 0.00030684924163706186, 0.00023541558521261927]]","[[0.055230351, 0.0045977432, 0.027937648], [0.0006456602392969538, 0.0004867742709030131, 0.00013409130402826329]]","[[0.047766301, 0.0038208842999999998, 0.023783468], [9.798232477850208e-05, 7.946153611660184e-05, 3.555719527746772e-05]]","[[0.045983821999999994, 0.005454950300000001, 0.021750873], [0.00024920968961097896, 0.00021234803697329062, 0.00010617168144566572]]","[[0.043089116, 0.0040848334, 0.020630572], [0.00013161867969251246, 0.00010995660090162838, 6.424035737758573e-05]]","[[0.042862086, 0.00549352, 0.020079514], [7.65007006765298e-05, 0.0001555391449237136, 8.428965739638462e-05]]","[[0.040946055999999995, 0.0036381526999999998, 0.01975066], [0.00013836208961995298, 0.00022413904665365657, 8.455203805941043e-05]]","[[0.040424249999999995, 0.012364590999999998, 0.014273415000000001], [8.684501125568532e-05, 0.00012887422383471418, 4.833783057812991e-05]]","[[0.042183719, 0.0054443026, 0.017972768], [0.00012453651219220707, 0.00020843060800573417, 0.00011562204087456657]]","[[0.041179859, 0.017623394000000004, 0.012512039399999998], [0.0009949308611702627, 0.001651428463756151, 0.0009376074773311269]]","[[0.040582049, 0.013629997999999999, 0.013467383999999999], [0.00010921319823629461, 0.0017303601729223895, 0.00041657342121647646]]"
3,"[[0.13992533999999998, 0.0083115697, 0.075310194], [0.0007744560661522422, 0.0003859766795191259, 0.00034092274351236757]]","[[0.07495412300000001, 0.0055699469, 0.039293354999999995], [0.00022544371945343888, 0.00013832503384091403, 0.000133980434261872]]","[[0.057038202999999996, 0.00581824, 0.028269386], [0.002079389664324845, 0.0017012250225784946, 0.00033015271609362863]]","[[0.050103894999999996, 0.005634310699999999, 0.024277280000000002], [0.003043398667977135, 0.003642847497813052, 5.75022171746449e-05]]","[[0.046932920999999996, 0.0058571219, 0.022202337], [0.0006403459906245997, 0.000648143940117849, 9.982687854981749e-05]]","[[0.04448147300000001, 0.0047388595, 0.020975129999999998], [9.775582121285644e-05, 7.64703454565886e-05, 9.273046770075025e-05]]","[[0.044693664, 0.0080147577, 0.019975281], [0.0007672436243488767, 0.00386963340149635, 0.0012331475520021926]]","[[0.042136828, 0.0038121671999999996, 0.020156552], [7.957700368825145e-05, 0.00010077164172504082, 3.9741129022713484e-05]]","[[0.042224517, 0.013780291, 0.014524707999999997], [7.942702450048099e-05, 0.00012660527772964257, 8.580400431215317e-05]]","[[0.044175403, 0.0072130713, 0.018195381000000004], [0.00025807086914450496, 0.002681653507619247, 0.0009522228903408069]]","[[0.043787846, 0.019093511, 0.013122110000000001], [9.735540952612703e-05, 0.00010908728692657071, 4.997325144514807e-05]]","[[0.04280378399999999, 0.014687425, 0.013918255], [0.0002026255425754602, 0.00020407755326100896, 6.917010962113594e-05]]"
4,"[[0.14181204, 0.009447992499999999, 0.07561675399999998], [0.000959336886812967, 0.0004893740646553, 0.0003023273826566152]]","[[0.075745624, 0.00627951, 0.039311373999999996], [0.00012836799392371986, 0.00019524402039908923, 0.00015636985746620165]]","[[0.057433009, 0.005690685900000001, 0.028444420999999998], [0.00015049891404591602, 8.75573490649984e-05, 6.153291679255927e-05]]","[[0.049931147999999995, 0.0048784375999999996, 0.024524707], [0.00019675299671415418, 0.00013470421145250053, 6.668536181951774e-05]]","[[0.048162162999999994, 0.006633062399999999, 0.022414561000000003], [0.00016391736967447988, 0.0001126217173099398, 0.0001236312800588914]]","[[0.045714829, 0.0053453345999999995, 0.021412015], [0.00012545900282164035, 0.00010003328209970915, 5.60549880474516e-05]]","[[0.045533795, 0.006990362799999999, 0.020901653000000003], [0.00011430486509768467, 0.00012666909698959722, 0.0001197818611518446]]","[[0.0434843, 0.004784990899999999, 0.020620856], [0.00016245920029348977, 0.0002634684907298975, 5.711909894247282e-05]]","[[0.044666528, 0.014711763999999999, 0.015769401000000002], [0.0008528981655719516, 0.0006736716521897002, 0.0003827144066389455]]","[[0.045827352, 0.0091151041, 0.01850445], [0.00045433824771418856, 0.0031242526374882186, 0.0011146083542572251]]","[[0.044279172, 0.020126871, 0.012998870999999999], [0.0009591714032100823, 0.0010084894555566753, 0.0007049235338737104]]","[[0.04457572900000001, 0.015887862000000003, 0.014314470000000001], [0.0001966310758984945, 0.0002735596985230102, 4.563047906827194e-05]]"
5,"[[0.14322087999999997, 0.0103504062, 0.075468361], [0.0015062416909646353, 0.0006664038897710307, 0.0005313577922727783]]","[[0.07743051000000001, 0.007454246299999999, 0.039624915999999996], [0.00034139990594609303, 0.0002838029439498649, 0.0002676684637457314]]","[[0.059409324, 0.0071982742, 0.028730027], [0.0007462156980417917, 0.000707910717358171, 0.00013421743307409897]]","[[0.05107007300000001, 0.0057994098, 0.02460325], [0.00016807224458844993, 0.0001843300220082448, 5.588399430964133e-05]]","[[0.049225379, 0.0073148226, 0.022646495], [0.0004931616099302544, 0.0005860870697505958, 0.00011463132226839236]]","[[0.047276582, 0.006113994, 0.021833455], [0.00010842351735670587, 5.5074584116450665e-05, 6.666146551794403e-05]]","[[0.046997191, 0.007845877000000001, 0.021305018000000002], [0.00015553306840990474, 0.00019917574752313595, 6.835037173271215e-05]]","[[0.044968551999999995, 0.0056955979, 0.020840396000000004], [0.00013808265074222758, 0.00020583326473116548, 3.4885100601833195e-05]]","[[0.045771933, 0.015772681, 0.015841249999999998], [0.00012786024284741407, 0.0001224145361834126, 7.810721695208381e-05]]","[[0.047615013, 0.0082598365, 0.019517825], [0.00015108808993762526, 0.0001851748170012596, 7.709830688802458e-05]]","[[0.046823263999999996, 0.022393524000000005, 0.013205043], [0.0008186073734361305, 0.0014369144530221698, 0.0008321866461563776]]","[[0.046611115, 0.017464997000000003, 0.014574233999999997], [0.00016530971485366412, 0.00045617936001204613, 9.53204433686709e-05]]"
6,"[[0.14421435999999999, 0.011754477, 0.07534147700000002], [0.0007377023386163263, 0.00044017188265608244, 0.00041272781944157546]]","[[0.07853384100000001, 0.008296388600000001, 0.039894137], [0.0003784213617239371, 0.0004292782749057305, 9.678910838002313e-05]]","[[0.060335379, 0.007681496900000001, 0.029038966], [0.00037421372226175873, 0.0003927798196897211, 8.248481438422419e-05]]","[[0.052186983, 0.0064532698, 0.024898563000000002], [0.00013901000331271134, 9.42370888364025e-05, 6.96225026912992e-05]]","[[0.050885897, 0.0083753849, 0.022990387], [0.000397359776475929, 0.00043738166785416366, 6.528707882115757e-05]]","[[0.048432767, 0.0069620471, 0.022115522000000002], [0.0008151433671943847, 0.0010057269253923205, 8.341359059529817e-05]]","[[0.04842513899999999, 0.009294857, 0.021264387], [0.0007546921516280668, 0.0023148491590673026, 0.0006967750345419958]]","[[0.046604402, 0.007585415200000001, 0.021147209000000007], [0.0001556855462655408, 0.00036968237735326265, 7.161539742960276e-05]]","[[0.047223785000000004, 0.016373472000000003, 0.016113243000000003], [0.0003379553582427725, 0.0006333215709227025, 0.00012034839367851941]]","[[0.049316782, 0.0093300332, 0.020043161], [8.522061860840955e-05, 0.00010027773605721244, 4.724466857752302e-05]]","[[0.048410261999999996, 0.023246997, 0.013535623000000002], [0.000537813362214067, 0.000498178687100322, 0.00032288467003095694]]","[[0.04869430200000001, 0.019304942000000002, 0.014829207000000002], [0.0003003203208509209, 0.0007840775164331648, 0.0002320971799074688]]"
7,"[[0.14575923, 0.0125818, 0.07560330700000001], [0.0004759037025491599, 0.0002488015394646905, 0.00028785963513664]]","[[0.079884327, 0.008921718499999998, 0.04027385699999999], [0.00019651099592897972, 0.00020243002089376464, 0.00012848735222192092]]","[[0.06175204799999999, 0.0085489948, 0.029244144], [0.0001579743979130791, 0.00010800358095804059, 6.493408861299253e-05]]","[[0.053530608, 0.0072681428, 0.02510781], [0.00018276812587538407, 0.0001240295658404077, 8.422974296529745e-05]]","[[0.051806556000000004, 0.008903851700000001, 0.023247219], [0.0006453298980397558, 0.0008072077423557149, 7.313542595076573e-05]]","[[0.049791472, 0.0074167608999999995, 0.022614883999999995], [6.606808046250504e-05, 5.9552693745035534e-05, 2.6892693134009667e-05]]","[[0.049721628, 0.0098307103, 0.021706005000000004], [0.000156646264928341, 0.00033398278116006245, 0.00010245597896169919]]","[[0.04777474899999999, 0.0088401734, 0.021068075], [0.00013717540103458853, 0.0043680361323357245, 0.0020237929182811663]]","[[0.049273188, 0.018259095, 0.016365172000000004], [0.0005714292198654184, 0.0008318417105345228, 0.00011089811466386646]]","[[0.051781276, 0.011569917, 0.020785988], [0.00019087504500064955, 0.003989322005775041, 0.0016860147791748449]]","[[0.05053836900000001, 0.026192521000000003, 0.013495949999999998], [0.0011752260790371357, 0.001388954748337396, 0.0009772458344654122]]","[[0.05029360999999999, 0.020122221, 0.015074906999999999], [0.00017714992243859372, 0.000258944294644621, 0.00010481164992976715]]"
8,"[[0.14486824, 0.0106654507, 0.076779211], [0.0011367129225974349, 0.0006222765039099659, 0.00043300630308229726]]","[[0.07901222699999999, 0.0081025243, 0.040116859], [0.0002906433284990393, 9.436316751259467e-05, 0.0001254835532211296]]","[[0.060892124000000006, 0.0068672778, 0.029786637999999997], [0.0002487503456158397, 0.00020286891205100895, 8.667906261606716e-05]]","[[0.053639113, 0.006843155399999999, 0.02556819], [0.002424663305644931, 0.0021754310585726773, 0.00036647560876544013]]","[[0.05218438399999999, 0.0084887719, 0.023848566999999998], [0.00034832061133961023, 0.0004970666604177855, 6.740217267269638e-05]]","[[0.04961071, 0.006596157900000001, 0.023149487], [0.00011129594961183391, 0.00010738081280792201, 5.036260458911965e-05]]","[[0.05023981400000001, 0.010305714300000001, 0.022082523], [0.0007607901911854541, 0.0024521132041389537, 0.0007694370732691538]]","[[0.048595986, 0.0114308586, 0.020473148999999996], [0.000422251239908185, 0.006601430833787448, 0.0029638506612764755]]","[[0.049442147, 0.016764387, 0.017331803], [0.0002683626750891413, 0.0010148160048999032, 0.0007298097435366291]]","[[0.052232649, 0.009319006300000002, 0.022382383], [0.00012297233578736336, 0.0001789761796357552, 7.895307809705641e-05]]","[[0.051623162, 0.026277909999999998, 0.014239214999999996], [0.0007971216446164288, 0.0018217282986219435, 0.0010372129179030698]]","[[0.051264602000000006, 0.019674872000000003, 0.016145990000000002], [0.0001256154731551805, 0.00016546596162353222, 4.888738364854444e-05]]"
9,"[[0.14791322, 0.013177512999999998, 0.07687044200000001], [0.0008983595180104694, 0.00035321566743421785, 0.0003271950344611011]]","[[0.081423926, 0.0096849141, 0.040852955], [0.0003154506206429138, 0.00021211356863597855, 0.00019054827489379186]]","[[0.062554495, 0.008449435199999999, 0.029864680999999997], [0.000173984300455529, 0.00014629612011587986, 9.730588856282005e-05]]","[[0.054670518, 0.007503381400000002, 0.025807414], [0.00016911436141262457, 0.00010233089049959452, 8.651072467619261e-05]]","[[0.052965058999999995, 0.0091717839, 0.023744348], [0.00020379478145673838, 0.00017843030641090637, 4.9245784347495184e-05]]","[[0.051552248, 0.0080082595, 0.023414619], [0.00011191696795392607, 9.406830292000597e-05, 6.197874497761292e-05]]","[[0.051809786000000004, 0.010741278, 0.022718238], [0.0002023418686382042, 0.0004816431264702111, 0.00014100785529891618]]","[[0.049945574, 0.008887726200000001, 0.022328125999999997], [0.00014738327219871345, 0.0008649598782101747, 0.00018441261991523236]]","[[0.05105622700000001, 0.019168555, 0.016810712999999998], [9.202683228819803e-05, 9.67668039412271e-05, 6.131153350716326e-05]]","[[0.05452421, 0.011340887, 0.022359854000000002], [0.0002690814771031264, 0.00029156378842544906, 3.526225069390749e-05]]","[[0.053504845999999995, 0.027683435, 0.014300626], [0.0011178112693133856, 0.0015407696507995607, 0.001008150560275597]]","[[0.053598407, 0.022584357000000003, 0.015878437000000002], [0.00016753118098133176, 0.0013786138492489475, 0.0005034153308362787]]"
10,"[[0.14916608, 0.01383065, 0.0773435], [0.000999075020006002, 0.0005553433593192593, 0.0003043908063329113]]","[[0.081952565, 0.010424416999999998, 0.04047771599999999], [0.0002523871225023189, 0.00025427862399541185, 0.00014570489917638274]]","[[0.063681269, 0.0092909416, 0.030000113000000005], [0.00017336973042893054, 0.00014294085380897915, 0.00010515746184175444]]","[[0.055818829, 0.008289319199999999, 0.025969297999999995], [0.00011908356750198623, 0.0001423546252341666, 5.4964809614879835e-05]]","[[0.054318685, 0.01026406, 0.023875746], [0.00019379421442602412, 0.00011048466219344672, 7.182159872907268e-05]]","[[0.052665112, 0.0087738613, 0.023714381], [0.00013659193664342, 0.00014598322944300846, 8.142643961883629e-05]]","[[0.052701223, 0.011342235, 0.022802667000000002], [0.00015474266697003804, 0.0003153350359300408, 0.00016218030737731424]]","[[0.05117456499999999, 0.010275575399999999, 0.022388986], [0.00014391202835413087, 0.0005517231512242713, 0.0001470317716141653]]","[[0.05302523899999999, 0.016134955, 0.019852313], [0.0002862629834417988, 0.001285199806265547, 0.0011284595333466772]]","[[0.055902229000000005, 0.014094045, 0.021981048], [0.0002651951090970569, 0.0040255896806585985, 0.0015050163631721754]]","[[0.05487308099999999, 0.028831421999999995, 0.014310831999999999], [0.0014395195296379266, 0.0006500587056381905, 0.0008343487273292866]]","[[0.055268934000000006, 0.023526745999999998, 0.016097587], [0.00023482198535060617, 0.00049878694323729, 0.0001262346208494324]]"
11,"[[0.15049944, 0.015016854, 0.077552342], [0.0004378446464215319, 0.00026331515057816156, 0.00013851304962349202]]","[[0.08327409100000001, 0.011687714999999998, 0.040365945], [0.0014104392598722568, 0.001142804247640426, 0.0002819011212907813]]","[[0.06499477299999999, 0.010073388, 0.030261309000000004], [0.0002918023738097412, 0.00025272355903120696, 8.982935427242049e-05]]","[[0.056685529, 0.008890405399999999, 0.026156136000000003], [0.00016395583816686678, 0.00012942583817321778, 7.063058419693255e-05]]","[[0.055130433, 0.010758561, 0.024063901999999998], [0.00031503862312580016, 0.0003148680421525818, 6.385750305171635e-05]]","[[0.054430802, 0.0097976902, 0.023959201000000003], [0.00013507708494041526, 0.00010938829290358262, 6.31283781591133e-05]]","[[0.053977770999999994, 0.012361184, 0.022981977999999997], [0.0001357763467213647, 0.00023332131077979162, 6.805238156008968e-05]]","[[0.052201397000000004, 0.010412579, 0.022479281], [0.00011732510686549603, 0.00015586065144544957, 5.2832965551821946e-05]]","[[0.054764433, 0.020335528, 0.018172913], [0.0003355370447223383, 0.0012420600848574116, 0.0007295772401199207]]","[[0.057412895, 0.013889506, 0.022818511], [0.00012130064486638147, 0.0005308854429950026, 0.000179343916899905]]","[[0.057438401999999986, 0.031177148, 0.014297393], [0.0002399257463383194, 0.0012697829938048478, 0.00042712005111092584]]","[[0.057382103000000004, 0.025548760999999996, 0.016278983], [0.00033411753378264974, 0.0009077428873910281, 0.00022683794241925236]]"
