nx,ny,time
4,1048576,0.2895760E+02
8,524288,0.2153599E+02
16,262144,0.1788866E+02
32,131072,0.1501985E+02
64,65536,0.1348896E+02
128,32768,0.1215786E+02
256,16384,0.1113243E+02
512,8192,0.1085570E+02
1024,4096,0.1072928E+02
2048,2048,0.1066476E+02
4096,1024,0.1066065E+02
8192,512,0.1065931E+02
16384,256,0.1075116E+02
32768,128,0.1099825E+02
65536,64,0.1147884E+02
131072,32,0.1379688E+02
262144,16,0.1941882E+02
524288,8,0.2207556E+02
1048576,4,0.2689272E+02
4,1048576,0.2895447E+02
8,524288,0.2152327E+02
16,262144,0.1792077E+02
32,131072,0.1502537E+02
64,65536,0.1349282E+02
128,32768,0.1215464E+02
256,16384,0.1114912E+02
512,8192,0.1084689E+02
1024,4096,0.1072330E+02
2048,2048,0.1066653E+02
4096,1024,0.1065424E+02
8192,512,0.1066832E+02
16384,256,0.1075521E+02
32768,128,0.1100259E+02
65536,64,0.1148667E+02
131072,32,0.1379014E+02
262144,16,0.1943369E+02
524288,8,0.2207171E+02
1048576,4,0.2688855E+02

