mx,my,time
1,1,0.2308912E+00
2,1,0.1431007E+00
4,1,0.9318086E-01
8,1,0.3804024E-01
16,1,0.2737131E-01
32,1,0.1885355E-01
64,1,0.1418748E-01
128,1,0.1213111E-01
1,2,0.1576508E+00
2,2,0.1002544E+00
4,2,0.6728415E-01
8,2,0.2616326E-01
16,2,0.1857869E-01
32,2,0.1390944E-01
64,2,0.1074318E-01
128,2,0.9236872E-02
1,4,0.1197661E+00
2,4,0.7751079E-01
4,4,0.5460993E-01
8,4,0.2059009E-01
16,4,0.1516231E-01
32,4,0.1152275E-01
64,4,0.9155413E-02
128,4,0.8004606E-02
1,8,0.1002896E+00
2,8,0.6803006E-01
4,8,0.4937841E-01
8,8,0.1722378E-01
16,8,0.1300530E-01
32,8,0.1035873E-01
64,8,0.8480628E-02
128,8,0.7088244E-02
1,16,0.9307772E-01
2,16,0.6174004E-01
4,16,0.4611808E-01
8,16,0.1630070E-01
16,16,0.1223238E-01
32,16,0.9917676E-02
64,16,0.8192122E-02
128,16,0.6778081E-02
1,32,0.8693941E-01
2,32,0.6004655E-01
4,32,0.4484884E-01
8,32,0.1609214E-01
16,32,0.1206962E-01
32,32,0.9798845E-02
64,32,0.8246998E-02
128,32,0.6610254E-02
1,64,0.8547211E-01
2,64,0.5773065E-01
4,64,0.4370228E-01
8,64,0.1766825E-01
16,64,0.1222938E-01
32,64,0.1045847E-01
64,64,0.8251746E-02
128,64,0.6549120E-02
1,128,0.8779037E-01
2,128,0.5881927E-01
4,128,0.4956843E-01
8,128,0.1858574E-01
16,128,0.1309405E-01
32,128,0.1033350E-01
64,128,0.8336763E-02
128,128,0.6441931E-02
