timestamp,hostname,test,timeit_avg,timeit_std
2023-08-28 06:46:08.470641,nid06416,list_pointwise,8.22e+00,4.83e-03
2023-08-28 06:52:14.407401,nid06416,list_sin_pointwise,1.43e+01,1.27e-02
2023-08-28 06:53:21.944404,nid06416,array_pointwise,1.50e+01,1.83e-02
2023-08-28 06:59:04.973466,nid06416,array_sin_pointwise,2.24e+01,7.56e-02
2023-08-28 06:59:08.424226,nid06416,numpy_pointwise,3.57e-05,3.18e-07
2023-08-28 06:59:15.692670,nid06416,numpy_sin_pointwise,8.68e-01,1.67e-04
2023-08-28 07:02:26.281812,nid06416,list_1D_same_col_ZYX,1.49e+01,8.91e-03
2023-08-28 07:05:10.700202,nid06416,numpy_1D_same_col,1.17e-01,2.92e-04
2023-08-28 07:10:27.407807,nid06416,list_1D_same_row_ZXY,1.49e+01,2.05e-02
2023-08-28 07:11:29.792252,nid06416,numpy_1D_same_row,1.05e-01,1.16e-05
2023-08-28 07:11:40.414976,nid06416,numpy_2D,1.10e+00,2.70e-03
2023-08-28 07:27:45.944574,nid06416,numba_pointwise,3.19e-02,2.33e-05
2023-08-28 07:28:01.913656,nid06416,numba_sin_pointwise,8.34e-01,4.47e-03
2023-08-28 07:28:08.121811,nid06416,numba_parallel_sin_pointwise,6.16e-02,6.21e-04
2023-08-28 07:28:11.950623,nid06416,numba_parallel_pointwise,3.33e-03,4.91e-05
2023-08-28 07:28:19.557257,nid06416,numba_vectorized_sin_pointwise,7.76e-02,3.88e-03
2023-08-28 07:28:32.814287,nid06416,numba_1D_same_col,3.67e-03,1.33e-04
2023-08-28 07:28:42.922103,nid06416,numba_vectorized_1D_same_col,1.02e-02,9.40e-04
2023-08-28 07:29:23.883688,nid06416,numba_1D_same_row,3.58e-03,1.35e-04
2023-08-28 07:29:48.996685,nid06416,numba_2D,2.23e-02,5.36e-04
2023-08-28 07:34:09.911592,nid06416,gt4py_numpy_pointwise,2.91e-03,3.70e-05
2023-08-28 07:34:14.710336,nid06416,gt4py_ifirst_pointwise,5.15e-03,3.97e-04
2023-08-28 07:34:19.763959,nid06416,gt4py_kfirst_pointwise,5.47e-03,2.90e-04
2023-08-28 07:34:34.619437,nid06416,gt4py_numpy_1D_same_col,1.14e-01,2.34e-04
2023-08-28 07:34:53.806372,nid06416,gt4py_ifirst_1D_same_col,1.09e-02,1.12e-04
2023-08-28 07:35:00.627013,nid06416,gt4py_kfirst_1D_same_col,7.67e-03,1.44e-04
2023-08-28 07:36:39.144440,nid06416,gt4py_numpy_1D_same_row,1.04e-01,2.98e-05
2023-08-28 07:36:54.036475,nid06416,gt4py_ifirst_1D_same_row,7.48e-03,1.72e-04
2023-08-28 07:37:01.130761,nid06416,gt4py_kfirst_1D_same_row,8.40e-03,8.03e-05
2023-08-28 07:38:15.032501,nid06416,gt4py_numpy_2D,4.62e+00,1.24e-03
2023-08-28 07:38:43.438546,nid06416,gt4py_ifirst_2D,3.32e-02,7.53e-04
2023-08-28 07:39:16.303469,nid06416,gt4py_kfirst_2D,5.42e-02,6.42e-04
2023-08-28 08:07:54.028060,nid06416,numexpr_pointwise,1.14e-02,3.17e-04
2023-08-28 08:08:01.637651,nid06416,numexpr_sin_pointwise,8.61e-02,2.64e-04
2023-08-28 08:08:10.146056,nid06416,numexpr_1D_same_col,9.68e-02,1.49e-03
2023-09-05 11:44:35.138882,nid02623,taichi_ndarray_cpu_pointwise,1.14e-01,1.43e-04
2023-09-05 11:44:40.129513,nid02623,taichi_ndarray_parallel_cpu_pointwise,4.48e-02,1.56e-03
2023-09-05 11:44:56.113052,nid02623,taichi_field_parallel_cpu_pointwise,6.10e-02,2.57e-04
2023-09-05 11:44:58.790661,nid02623,taichi_ndarray_parallel_cpu_sin_pointwise,2.57e-01,3.87e-03
2023-09-05 11:45:06.204185,nid02623,taichi_field_parallel_cpu_sin_pointwise,7.50e-02,4.54e-04
2023-09-05 11:45:14.969372,nid02623,taichi_ndarray_parallel_gpu_pointwise,2.56e-01,3.34e-04
2023-09-05 11:45:18.755381,nid02623,taichi_field_parallel_gpu_pointwise,2.50e-02,6.35e-04
2023-09-05 11:45:21.726742,nid02623,taichi_ndarray_parallel_gpu_sin_pointwise,2.72e-01,1.95e-04
2023-09-05 11:45:24.791336,nid02623,taichi_field_parallel_gpu_sin_pointwise,1.85e-02,8.34e-04
2023-09-05 11:45:31.307614,nid02623,taichi_cpu_1D_same_col,6.14e-02,1.02e-03
2023-09-05 11:46:22.300725,nid02623,taichi_gpu_1D_same_col,1.53e-02,2.86e-04
2023-09-05 11:46:56.790275,nid02623,taichi_cpu_1D_same_row,6.25e-02,1.99e-03
2023-09-05 11:47:11.415506,nid02623,taichi_gpu_1D_same_row,1.51e-02,1.86e-04
2023-09-05 11:48:00.049265,nid02623,taichi_cpu_2D,1.45e-01,1.99e-03
2023-09-05 11:48:40.899101,nid02623,taichi_gpu_2D,1.52e-02,1.83e-04
