rank;sendrecv_1node;Isend_Irecv_1node;Isend_recv_1node;overlap_com_1node;sendrecv_2nodes;Isend_Irecv_2nodes;Isend_recv_2nodes;overlap_com_2nodes;sendrecv_4nodes;Isend_Irecv_4nodes;Isend_recv_4nodes;overlap_com_4nodes
2;9.41121769;9.475512981;9.316739559;9.282137394;8.003917933;7.998892784;8.032713175;7.997663021;;;;
4;5.533211231;5.500466347;5.579861879;5.5283041;4.626455784;4.514802217;4.837142706;4.413125515;4.888048172;4.663398027;4.938781738;4.606037378
8;3.572698593;3.573359251;3.729221344;3.202498674;2.621736765;2.588669538;2.70432663;2.593977213;2.972579718;2.820067644;2.778836012;2.755685568
12;3.074683905;3.079027176;3.203531504;3.150987387;2.013257504;1.996319532;2.224089146;1.919539452;2.108090401;1.98094964;2.025535345;2.048366785
16;3.808257103;3.778214455;3.803879023;3.624424458;1.6355021;1.609549284;1.69260478;1.624140263;1.828860521;1.678640127;1.718751669;1.644912958
20;3.383896828;3.25998807;3.505466223;3.324578285;1.477024794;1.383045673;1.373981953;1.428803921;1.712413311;1.556245565;1.544538498;1.504648685
24;3.334177017;3.046937943;2.781276464;3.242299557;1.207832336;1.245259762;1.21606493;1.230130672;1.506303787;1.285066366;1.337939739;1.265114069
48;;;;;2.396054029;2.043242693;2.04796648;2.046547413;0.987684965;0.907001257;0.922287226;0.864134073
72;;;;;;;;;1.365418911;;1.221042633;
96;;;;;;;;;1.892030001;1.488571405;1.330956221;1.414958239
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
