rank;sendrecv_2hp;Isend_Irecv_2hp;Isend_recv_2hp;send_Irecv_2hp;sendrecv_8hp;Isend_Irecv_8hp;Isend_recv_8hp;send_Irecv_8hp
1;17.29851627;17.52794433;17.18540788;17.21804404;18.55391526;18.39061785;19.56044149;19.70222592
2;9.41121769;9.475512981;9.316739559;9.240891933;10.04257131;10.02127194;10.51016235;10.32174158
3;6.661588907;6.716796637;6.668471575;11.15452194;7.396016121;7.481354475;7.519860506;9.264877796
4;5.533211231;5.500466347;5.579861879;;6.424538374;6.279765129;6.484825611;11.11074781
5;4.653525352;4.498645067;4.88406086;;5.314527273;5.304658175;5.421434164;
6;4.147915125;4.189697981;4.2302773;;4.945890903;4.916967869;5.028104067;
7;3.681672335;3.496955395;3.736238718;;4.474066019;4.172061443;4.164949179;
8;3.572698593;3.573359251;3.729221344;7.390744925;4.276073456;4.261964083;4.462162256;
9;3.385336161;3.365509033;3.512109756;;4.26845336;4.273066282;4.412552357;
10;3.186065912;3.138515472;3.225293636;;4.06479454;3.949023247;4.160138369;
11;2.949211597;2.802026749;3.091165066;;4.450729609;4.25809598;4.316995621;
12;3.074683905;3.079027176;3.203531504;;4.155039549;4.037012577;4.053823709;
13;3.938641548;3.964951992;3.981314898;;5.4931705;5.563611507;5.041407585;
14;4.151698112;3.639156818;3.879000902;;4.941907167;4.554481983;4.670474291;
15;3.889090061;3.941270351;4.112036943;;5.46769166;4.911974907;5.031483412;
16;3.808257103;3.778214455;3.803879023;;5.538484812;5.249764919;5.227545738;
17;3.658057928;3.429418087;3.658163309;;5.825386524;5.579565763;5.532999039;
18;3.481136799;3.244676352;3.580058813;;5.059743404;4.737650633;5.01598525;
19;3.357245445;3.32328558;3.517399549;;6.663468599;6.177153349;6.082134962;
20;3.383896828;3.25998807;3.505466223;;5.322946072;5.074926376;5.236573219;
21;3.365412474;3.326600075;3.456171989;;5.268467426;5.040566444;5.160141706;
22;3.202506542;3.068861008;3.326310396;;5.381940603;5.397125483;5.271113396;
23;3.352652073;3.247240782;3.403340101;;7.358992577;7.16550827;7.206936598;
24;3.334177017;3.046937943;2.781276464;;4.862821102;4.33144021;4.033891678;
