ranks nx ny nz num_iter time num_streams
###1, 128, 128, 8, 32, 0.00179451, 1
###1, 128, 128, 8, 64, 0.00326913, 1
###1, 128, 128, 8, 128, 0.00604367, 1
###1, 128, 128, 8, 256, 0.0118126, 1
###1, 128, 128, 8, 512, 0.0230662, 1
###1, 128, 128, 8, 1024, 0.0460078, 1
###1, 128, 128, 16, 32, 0.00251024, 1
###1, 128, 128, 16, 64, 0.00463189, 1
###1, 128, 128, 16, 128, 0.00919752, 1
###1, 128, 128, 16, 256, 0.0179679, 1
###1, 128, 128, 16, 512, 0.0342964, 1
###1, 128, 128, 16, 1024, 0.0705943, 1
###1, 128, 128, 32, 32, 0.00400266, 1
###1, 128, 128, 32, 64, 0.0078006, 1
###1, 128, 128, 32, 128, 0.0146183, 1
###1, 128, 128, 32, 256, 0.0298141, 1
###1, 128, 128, 32, 512, 0.0591268, 1
###1, 128, 128, 32, 1024, 0.113273, 1
###1, 128, 128, 64, 32, 0.00696627, 1
###1, 128, 128, 64, 64, 0.0133791, 1
###1, 128, 128, 64, 128, 0.0270931, 1
###1, 128, 128, 64, 256, 0.0539248, 1
###1, 128, 128, 64, 512, 0.102282, 1
###1, 128, 128, 64, 1024, 0.211763, 1
###1, 128, 128, 128, 32, 0.014849, 1
###1, 128, 128, 128, 64, 0.0288221, 1
###1, 128, 128, 128, 128, 0.0564119, 1
###1, 128, 128, 128, 256, 0.111864, 1
###1, 128, 128, 128, 512, 0.222267, 1
###1, 128, 128, 128, 1024, 0.442978, 1
###1, 128, 128, 256, 32, 0.0292701, 1
###1, 128, 128, 256, 64, 0.0583528, 1
###1, 128, 128, 256, 128, 0.114323, 1
###1, 128, 128, 256, 256, 0.225214, 1
###1, 128, 128, 256, 512, 0.448937, 1
###1, 128, 128, 256, 1024, 0.89726, 1
###1, 128, 128, 512, 32, 0.0575797, 1
###1, 128, 128, 512, 64, 0.114969, 1
###1, 128, 128, 512, 128, 0.225556, 1
###1, 128, 128, 512, 256, 0.429517, 1
###1, 128, 128, 512, 512, 0.890275, 1
###1, 128, 128, 512, 1024, 1.713, 1
###1, 128, 128, 1024, 32, 0.115217, 1
###1, 128, 128, 1024, 64, 0.221046, 1
###1, 128, 128, 1024, 128, 0.432519, 1
###1, 128, 128, 1024, 256, 0.856089, 1
###1, 128, 128, 1024, 512, 1.76437, 1
###1, 128, 128, 1024, 1024, 3.3929, 1
###1, 128, 128, 2048, 32, 0.229485, 1
###1, 128, 128, 2048, 64, 0.458111, 1
###1, 128, 128, 2048, 128, 0.863391, 1
###1, 128, 128, 2048, 256, 1.70585, 1
###1, 128, 128, 2048, 512, 3.39595, 1
###1, 128, 128, 2048, 1024, 7.03685, 1
###1, 128, 128, 4096, 32, 0.449092, 1
###1, 128, 128, 4096, 64, 0.903386, 1
###1, 128, 128, 4096, 128, 1.78224, 1
###1, 128, 128, 4096, 256, 3.52691, 1
###1, 128, 128, 4096, 512, 7.03744, 1
###1, 128, 128, 4096, 1024, 13.4677, 1
###1, 128, 128, 8192, 32, 0.897217, 1
###1, 128, 128, 8192, 64, 1.80595, 1
