ranks, nx, ny, nz, num_iter, time, num_streams
###1, 128, 128, 8, 32, 0.00198136, 1
###1, 128, 128, 8, 32, 0.00185453, 2
###1, 128, 128, 8, 32, 0.0018201, 4
###1, 128, 128, 8, 32, 0.00199945, 8
###1, 128, 128, 8, 32, 0.00244655, 16
###1, 128, 128, 8, 32, 0.003268, 32
###1, 128, 128, 8, 32, 0.00500968, 64
###1, 128, 128, 8, 32, 0.00840088, 128
###1, 128, 128, 8, 32, 0.0152885, 256
###1, 128, 128, 8, 64, 0.0035292, 1
###1, 128, 128, 8, 64, 0.00335978, 2
###1, 128, 128, 8, 64, 0.00324241, 4
###1, 128, 128, 8, 64, 0.00313164, 8
###1, 128, 128, 8, 64, 0.00470562, 16
###1, 128, 128, 8, 64, 0.00611105, 32
###1, 128, 128, 8, 64, 0.00930548, 64
###1, 128, 128, 8, 64, 0.0156038, 128
###1, 128, 128, 8, 64, 0.0284365, 256
###1, 128, 128, 8, 128, 0.00680382, 1
###1, 128, 128, 8, 128, 0.00635644, 2
###1, 128, 128, 8, 128, 0.00621103, 4
###1, 128, 128, 8, 128, 0.0068293, 8
###1, 128, 128, 8, 128, 0.00934763, 16
###1, 128, 128, 8, 128, 0.011567, 32
###1, 128, 128, 8, 128, 0.017727, 64
###1, 128, 128, 8, 128, 0.0300423, 128
###1, 128, 128, 8, 128, 0.0543466, 256
###1, 128, 128, 8, 256, 0.0130753, 1
###1, 128, 128, 8, 256, 0.0122918, 2
###1, 128, 128, 8, 256, 0.0119108, 4
###1, 128, 128, 8, 256, 0.01313, 8
###1, 128, 128, 8, 256, 0.0163661, 16
###1, 128, 128, 8, 256, 0.0223873, 32
###1, 128, 128, 8, 256, 0.0342911, 64
###1, 128, 128, 8, 256, 0.0584846, 128
###1, 128, 128, 8, 256, 0.107384, 256
###1, 128, 128, 8, 512, 0.0256543, 1
###1, 128, 128, 8, 512, 0.0240691, 2
###1, 128, 128, 8, 512, 0.0234153, 4
###1, 128, 128, 8, 512, 0.025886, 8
###1, 128, 128, 8, 512, 0.031967, 16
###1, 128, 128, 8, 512, 0.044339, 32
###1, 128, 128, 8, 512, 0.0685109, 64
###1, 128, 128, 8, 512, 0.116524, 128
###1, 128, 128, 8, 512, 0.212901, 256
###1, 128, 128, 8, 1024, 0.0509606, 1
###1, 128, 128, 8, 1024, 0.047693, 2
###1, 128, 128, 8, 1024, 0.0463231, 4
###1, 128, 128, 8, 1024, 0.0510916, 8
###1, 128, 128, 8, 1024, 0.0634977, 16
###1, 128, 128, 8, 1024, 0.0880094, 32
###1, 128, 128, 8, 1024, 0.134271, 64
###1, 128, 128, 8, 1024, 0.229894, 128
###1, 128, 128, 8, 1024, 0.423515, 256
###1, 128, 128, 16, 32, 0.00280345, 1
###1, 128, 128, 16, 32, 0.00257765, 2
###1, 128, 128, 16, 32, 0.00247128, 4
###1, 128, 128, 16, 32, 0.00257533, 8
###1, 128, 128, 16, 32, 0.00314656, 16
###1, 128, 128, 16, 32, 0.00407365, 32
###1, 128, 128, 16, 32, 0.00568264, 64
###1, 128, 128, 16, 32, 0.00909424, 128
###1, 128, 128, 16, 32, 0.0160589, 256
###1, 128, 128, 16, 64, 0.00526227, 1
