Calls,Size,Time
1,8,0.004677
1,32,0.004648
1,128,0.004638
1,512,0.004632
1,2048,0.004691
1,8192,0.004636
1,32768,0.004704
1,131072,0.004819
1,524288,0.005388
1,2097152,0.007331
1,8388608,0.014240
1,33554432,0.036209
1,134217728,0.117146
1,536870912,0.432636
2,8,0.004015
2,32,0.003988
2,128,0.003582
2,512,0.003373
2,2048,0.003296
2,8192,0.003259
2,32768,0.003264
2,131072,0.003349
2,524288,0.003871
2,2097152,0.006001
2,8388608,0.013183
2,33554432,0.036366
2,134217728,0.125267
2,536870912,0.445995
4,8,0.003754
4,32,0.003575
4,128,0.003578
4,512,0.003542
4,2048,0.003569
4,8192,0.003561
4,32768,0.003585
4,131072,0.003744
4,524288,0.004381
4,2097152,0.006850
4,8388608,0.015490
4,33554432,0.040913
4,134217728,0.141820
4,536870912,0.487135
8,8,0.003694
8,32,0.003514
8,128,0.003496
8,512,0.003467
8,2048,0.003488
8,8192,0.003481
8,32768,0.003546
8,131072,0.003702
8,524288,0.004260
8,2097152,0.006946
8,8388608,0.015498
8,33554432,0.047026
8,134217728,0.166450
8,536870912,0.583725
16,8,0.004048
16,32,0.003804
16,128,0.003743
16,512,0.003727
16,2048,0.003739
16,8192,0.003750
16,32768,0.003799
16,131072,0.003986
16,524288,0.005092
16,2097152,0.008041
16,8388608,0.020200
16,33554432,0.057282
16,134217728,0.199628
16,536870912,0.770804
32,8,0.004298
32,32,0.003983
32,128,0.003958
32,512,0.003972
32,2048,0.003954
32,8192,0.003954
32,32768,0.004052
32,131072,0.004299
32,524288,0.005689
32,2097152,0.010057
32,8388608,0.025788
32,33554432,0.080571
32,134217728,0.293132
32,536870912,1.115502
64,8,0.004608
64,32,0.004287
64,128,0.004266
64,512,0.004233
64,2048,0.004204
64,8192,0.004276
64,32768,0.004389
64,131072,0.004882
64,524288,0.006956
64,2097152,0.013278
64,8388608,0.038688
64,33554432,0.127092
64,134217728,0.495423
64,536870912,1.839028
128,8,0.008703
128,32,0.008361
128,128,0.008439
128,512,0.008360
128,2048,0.008285
128,8192,0.008302
128,32768,0.008483
128,131072,0.009187
128,524288,0.011414
128,2097152,0.021550
128,8388608,0.053902
128,33554432,0.173022
128,134217728,0.658865
128,536870912,2.587616
256,8,0.016755
256,32,0.016269
256,128,0.016253
256,512,0.016257
256,2048,0.016323
256,8192,0.016355
256,32768,0.016598
256,131072,0.017399
256,524288,0.021002
256,2097152,0.031264
256,8388608,0.075292
256,33554432,0.234042
256,134217728,0.828842
256,536870912,3.358455
512,8,0.033938
512,32,0.033274
512,128,0.033280
512,512,0.033418
512,2048,0.033826
512,8192,0.033924
512,32768,0.033945
512,131072,0.035488
512,524288,0.040298
512,2097152,0.059594
512,8388608,0.114085
512,33554432,0.325731
512,134217728,1.172248
512,536870912,4.327359
