Calls,Size,Time
1,8,0.004292
1,32,0.004245
1,128,0.004250
1,512,0.004231
1,2048,0.004247
1,8192,0.004264
1,32768,0.004271
1,131072,0.004344
1,524288,0.006805
1,2097152,0.015083
1,8388608,0.212386
1,33554432,0.839400
1,134217728,1.731260
1,536870912,12.059965
2,8,0.003893
2,32,0.003519
2,128,0.003192
2,512,0.003061
2,2048,0.002962
2,8192,0.002893
2,32768,0.002888
2,131072,0.002977
2,524288,0.003371
2,2097152,0.010394
2,8388608,0.211599
2,33554432,0.838795
2,134217728,1.725553
2,536870912,11.929221
4,8,0.003337
4,32,0.003209
4,128,0.003167
4,512,0.003161
4,2048,0.003180
4,8192,0.003180
4,32768,0.003230
4,131072,0.003552
4,524288,0.004669
4,2097152,0.009461
4,8388608,0.212345
4,33554432,0.839272
4,134217728,1.728465
4,536870912,11.955593
8,8,0.003342
8,32,0.003155
8,128,0.003142
8,512,0.003113
8,2048,0.003112
8,8192,0.003121
8,32768,0.003179
8,131072,0.003466
8,524288,0.004613
8,2097152,0.009408
8,8388608,0.211436
8,33554432,0.839760
8,134217728,1.729063
8,536870912,11.992244
16,8,0.003546
16,32,0.003388
16,128,0.003396
16,512,0.003385
16,2048,0.003342
16,8192,0.003345
16,32768,0.003395
16,131072,0.003798
16,524288,0.004849
16,2097152,0.009704
16,8388608,0.213474
16,33554432,0.846407
16,134217728,1.739653
16,536870912,11.891988
32,8,0.003855
32,32,0.003636
32,128,0.003608
32,512,0.003575
32,2048,0.003573
32,8192,0.003596
32,32768,0.003659
32,131072,0.003938
32,524288,0.005115
32,2097152,0.010128
32,8388608,0.212706
32,33554432,0.842082
32,134217728,1.734574
32,536870912,11.925691
64,8,0.004020
64,32,0.003873
64,128,0.003854
64,512,0.003860
64,2048,0.003847
64,8192,0.003857
64,32768,0.003907
64,131072,0.004242
64,524288,0.005419
64,2097152,0.010485
64,8388608,0.212799
64,33554432,0.840679
64,134217728,1.743325
64,536870912,12.057990
128,8,0.008024
128,32,0.007494
128,128,0.007466
128,512,0.007506
128,2048,0.007482
128,8192,0.007464
128,32768,0.007487
128,131072,0.007855
128,524288,0.009071
128,2097152,0.014097
128,8388608,0.216566
128,33554432,0.847489
128,134217728,1.766929
128,536870912,12.041221
256,8,0.014644
256,32,0.014443
256,128,0.014500
256,512,0.014474
256,2048,0.014448
256,8192,0.014494
256,32768,0.014600
256,131072,0.014904
256,524288,0.016065
256,2097152,0.021050
256,8388608,0.224756
256,33554432,0.860976
256,134217728,1.807707
256,536870912,12.241568
512,8,0.028680
512,32,0.028351
512,128,0.028368
512,512,0.028440
512,2048,0.028477
512,8192,0.028218
512,32768,0.028314
512,131072,0.028584
512,524288,0.029924
512,2097152,0.035010
512,8388608,0.238447
512,33554432,0.880093
512,134217728,1.893624
512,536870912,12.507096
