Calls,Size,Time
1,8,0.003962
1,32,0.003930
1,128,0.003928
1,512,0.003901
1,2048,0.003910
1,8192,0.003911
1,32768,0.003928
1,131072,0.003929
1,524288,0.003953
1,2097152,0.003939
1,8388608,0.003975
1,33554432,0.004093
1,134217728,0.004152
1,536870912,0.004165
2,8,0.002536
2,32,0.003710
2,128,0.003069
2,512,0.002795
2,2048,0.002649
2,8192,0.002576
2,32768,0.002547
2,131072,0.002525
2,524288,0.002501
2,2097152,0.002516
2,8388608,0.002490
2,33554432,0.002581
2,134217728,0.002619
2,536870912,0.002677
4,8,0.002898
4,32,0.002852
4,128,0.002843
4,512,0.002844
4,2048,0.002846
4,8192,0.002836
4,32768,0.002806
4,131072,0.002849
4,524288,0.002851
4,2097152,0.002853
4,8388608,0.002864
4,33554432,0.002944
4,134217728,0.003007
4,536870912,0.003034
8,8,0.002798
8,32,0.002790
8,128,0.002780
8,512,0.002772
8,2048,0.002783
8,8192,0.002781
8,32768,0.002783
8,131072,0.002791
8,524288,0.002809
8,2097152,0.002774
8,8388608,0.002800
8,33554432,0.002880
8,134217728,0.002930
8,536870912,0.002952
16,8,0.003068
16,32,0.003022
16,128,0.003025
16,512,0.003026
16,2048,0.003008
16,8192,0.003030
16,32768,0.003020
16,131072,0.003034
16,524288,0.003045
16,2097152,0.003057
16,8388608,0.003048
16,33554432,0.003163
16,134217728,0.003156
16,536870912,0.003240
32,8,0.003314
32,32,0.003280
32,128,0.003255
32,512,0.003269
32,2048,0.003265
32,8192,0.003260
32,32768,0.003250
32,131072,0.003267
32,524288,0.003273
32,2097152,0.003251
32,8388608,0.003269
32,33554432,0.003384
32,134217728,0.003400
32,536870912,0.003481
64,8,0.003568
64,32,0.003557
64,128,0.003537
64,512,0.003527
64,2048,0.003512
64,8192,0.003518
64,32768,0.003529
64,131072,0.003489
64,524288,0.003607
64,2097152,0.003546
64,8388608,0.003535
64,33554432,0.003614
64,134217728,0.003657
64,536870912,0.003734
128,8,0.007238
128,32,0.007157
128,128,0.007138
128,512,0.007128
128,2048,0.007146
128,8192,0.007125
128,32768,0.007146
128,131072,0.007153
128,524288,0.007157
128,2097152,0.007140
128,8388608,0.007130
128,33554432,0.007374
128,134217728,0.007426
128,536870912,0.008558
256,8,0.014174
256,32,0.014142
256,128,0.014148
256,512,0.014093
256,2048,0.014093
256,8192,0.014065
256,32768,0.014056
256,131072,0.014090
256,524288,0.014241
256,2097152,0.014151
256,8388608,0.014143
256,33554432,0.014255
256,134217728,0.014365
256,536870912,0.014443
512,8,0.027994
512,32,0.028023
512,128,0.028003
512,512,0.028006
512,2048,0.028089
512,8192,0.027992
512,32768,0.028005
512,131072,0.028049
512,524288,0.028014
512,2097152,0.027951
512,8388608,0.028084
512,33554432,0.028240
512,134217728,0.028245
512,536870912,0.028377
