solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
baseline,16,4x4,4098,1026,1026,258,20,1,0.022354975,894.655440,3.761622e+09
baseline,16,4x4,4098,1026,1026,258,20,1,0.022428860,891.708272,3.749230e+09
baseline,16,4x4,4098,1026,1026,258,20,1,0.022071902,906.129431,3.809865e+09
baseline,16,4x4,4098,1026,1026,258,20,1,0.022908127,873.052607,3.670792e+09
baseline,16,4x4,4098,1026,1026,258,20,1,0.022312920,896.341671,3.768712e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.024622894,812.252207,7.677853e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.025460802,785.521210,7.425177e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.024203005,826.343671,7.811053e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.023817908,839.704310,7.937345e+09
baseline,16,4x4,6146,1538,1538,386,20,1,0.024306789,822.815387,7.777702e+09
baseline,16,4x4,8194,2050,2050,514,20,1,0.027577025,725.241392,1.218239e+10
baseline,16,4x4,8194,2050,2050,514,20,1,0.027161047,736.348639,1.236896e+10
baseline,16,4x4,8194,2050,2050,514,20,1,0.027654079,723.220614,1.214844e+10
baseline,16,4x4,8194,2050,2050,514,20,1,0.027691781,722.235959,1.213190e+10
baseline,16,4x4,8194,2050,2050,514,20,1,0.027501772,727.225867,1.221572e+10
baseline,16,4x4,10242,2562,2562,642,20,1,0.030860732,648.072768,1.700543e+10
baseline,16,4x4,10242,2562,2562,642,20,1,0.031676099,631.390879,1.656770e+10
baseline,16,4x4,10242,2562,2562,642,20,1,0.030958033,646.035877,1.695198e+10
baseline,16,4x4,10242,2562,2562,642,20,1,0.030499465,655.749207,1.720686e+10
baseline,16,4x4,10242,2562,2562,642,20,1,0.030735906,650.704749,1.707450e+10
baseline,16,4x4,12802,3202,3202,802,20,1,0.036397235,549.492290,2.252479e+10
baseline,16,4x4,12802,3202,3202,802,20,1,0.036762535,544.032124,2.230097e+10
baseline,16,4x4,12802,3202,3202,802,20,1,0.036526719,547.544388,2.244494e+10
baseline,16,4x4,12802,3202,3202,802,20,1,0.036959125,541.138352,2.218235e+10
baseline,16,4x4,12802,3202,3202,802,20,1,0.036657131,545.596435,2.236509e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.046025880,434.538134,2.917916e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.047661551,419.625454,2.817778e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.047458358,421.422081,2.829842e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.046986459,425.654549,2.858263e+10
baseline,16,4x4,16386,4098,4098,1026,20,1,0.046760408,427.712265,2.872081e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.061307590,326.223882,3.422376e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.059713503,334.932620,3.513738e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.061059994,327.546708,3.436253e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.060060400,332.998115,3.493443e+10
baseline,16,4x4,20482,5122,5122,1282,20,1,0.060511427,330.516086,3.467405e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.077382935,258.454916,3.904127e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.077950151,256.574230,3.875718e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.077025830,259.653158,3.922227e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.077359984,258.531594,3.905285e+10
baseline,16,4x4,24578,6146,6146,1538,20,1,0.077374384,258.483479,3.904558e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.125995352,158.736014,4.262338e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.125999700,158.730537,4.262191e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.126310908,158.339452,4.251689e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.126155100,158.535010,4.256941e+10
baseline,16,4x4,32770,8194,8194,2050,20,1,0.126466035,158.145228,4.246474e+10
baseline,16,4x4,40962,10242,10242,2562,20,1,0.214417241,93.276081,3.913238e+10
baseline,16,4x4,40962,10242,10242,2562,20,1,0.194049649,103.066406,4.323974e+10
baseline,16,4x4,40962,10242,10242,2562,20,1,0.194581698,102.784590,4.312151e+10
baseline,16,4x4,40962,10242,10242,2562,20,1,0.193747246,103.227274,4.330723e+10
baseline,16,4x4,40962,10242,10242,2562,20,1,0.193186841,103.526720,4.343286e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.275611019,72.566039,4.383734e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.276966004,72.211028,4.362287e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.277622817,72.040188,4.351967e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.276116718,72.433137,4.375705e+10
baseline,16,4x4,49154,12290,12290,3074,20,1,0.277066961,72.184716,4.360698e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.572978332,34.905334,3.748504e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.552652671,36.189095,3.886367e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.549905257,36.369901,3.905784e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.676294810,29.572902,3.175851e+10
baseline,16,4x4,65538,16386,16386,4098,20,1,0.528985510,37.808219,4.060246e+10
baseline,16,4x4,81922,20482,20482,5122,20,1,0.936537369,21.355261,3.583256e+10
