solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
manual,16,16x1,4098,1026,258,1026,20,1,0.015104617,1324.098453,5.567236e+09
manual,16,16x1,4098,1026,258,1026,20,2,0.014854833,1346.363167,5.660849e+09
manual,16,16x1,4098,1026,258,1026,20,3,0.014698853,1360.650385,5.720920e+09
manual,16,16x1,4098,1026,258,1026,20,4,0.014611258,1368.807532,5.755217e+09
manual,16,16x1,4098,1026,258,1026,20,5,0.014609817,1368.942540,5.755785e+09
manual,16,8x2,4098,1026,514,514,20,1,0.018922004,1056.970498,4.444083e+09
manual,16,8x2,4098,1026,514,514,20,2,0.018559445,1077.618431,4.530898e+09
manual,16,8x2,4098,1026,514,514,20,3,0.018101445,1104.884168,4.645539e+09
manual,16,8x2,4098,1026,514,514,20,4,0.018005922,1110.745676,4.670184e+09
manual,16,8x2,4098,1026,514,514,20,5,0.018060711,1107.376116,4.656016e+09
manual,16,4x4,4098,1026,1026,258,20,1,0.017331799,1153.948300,4.851831e+09
manual,16,4x4,4098,1026,1026,258,20,2,0.016968813,1178.632825,4.955618e+09
manual,16,4x4,4098,1026,1026,258,20,3,0.016707530,1197.065036,5.033117e+09
manual,16,4x4,4098,1026,1026,258,20,4,0.016626839,1202.874461,5.057543e+09
manual,16,4x4,4098,1026,1026,258,20,5,0.016599608,1204.847729,5.065840e+09
manual,16,2x8,4098,1026,2050,130,20,1,0.017103558,1169.347337,4.916577e+09
manual,16,2x8,4098,1026,2050,130,20,2,0.016708597,1196.988592,5.032796e+09
manual,16,2x8,4098,1026,2050,130,20,3,0.016489199,1212.915194,5.099760e+09
manual,16,2x8,4098,1026,2050,130,20,4,0.016434002,1216.989021,5.116889e+09
manual,16,2x8,4098,1026,2050,130,20,5,0.016365279,1222.099544,5.138376e+09
manual,16,1x16,4098,1026,4098,66,20,1,0.014910655,1341.322698,5.639656e+09
manual,16,1x16,4098,1026,4098,66,20,2,0.014671672,1363.171151,5.731519e+09
manual,16,1x16,4098,1026,4098,66,20,3,0.014525437,1376.894891,5.789221e+09
manual,16,1x16,4098,1026,4098,66,20,4,0.014420544,1386.910230,5.831331e+09
manual,16,1x16,4098,1026,4098,66,20,5,0.014399999,1388.888985,5.839650e+09
manual,16,16x1,6146,1538,386,1538,20,1,0.017480816,1144.111350,1.081477e+10
manual,16,16x1,6146,1538,386,1538,20,2,0.017453083,1145.929347,1.083195e+10
manual,16,16x1,6146,1538,386,1538,20,3,0.017116518,1168.461950,1.104494e+10
