solver,nprocs,topology,nx_global,ny_global,nx_local,ny_local,nt,run,walltime,steps_per_second,cell_updates_per_second
manual,16,16x1,32770,8194,2050,8194,100,1,0.666102447,150.127057,4.031172e+10
manual,16,16x1,32770,8194,2050,8194,100,2,0.665536840,150.254643,4.034598e+10
manual,16,16x1,32770,8194,2050,8194,100,3,0.664344784,150.524249,4.041838e+10
manual,16,16x1,32770,8194,2050,8194,100,4,0.669627310,149.336800,4.009953e+10
manual,16,16x1,32770,8194,2050,8194,100,5,0.667709288,149.765777,4.021471e+10
manual,16,16x1,32770,8194,2050,8194,100,6,0.668551052,149.577208,4.016408e+10
manual,16,16x1,32770,8194,2050,8194,100,7,0.667272524,149.863806,4.024104e+10
manual,16,16x1,32770,8194,2050,8194,100,8,0.668684838,149.547282,4.015604e+10
manual,16,16x1,32770,8194,2050,8194,100,9,0.667426737,149.829179,4.023174e+10
manual,16,16x1,32770,8194,2050,8194,100,10,0.669032732,149.469518,4.013516e+10
manual,16,16x1,32770,8194,2050,8194,100,11,0.667262677,149.866017,4.024163e+10
manual,16,16x1,32770,8194,2050,8194,100,12,0.668914692,149.495894,4.014225e+10
manual,16,16x1,32770,8194,2050,8194,100,13,0.666619912,150.010521,4.028043e+10
manual,16,16x1,32770,8194,2050,8194,100,14,0.668337840,149.624926,4.017689e+10
manual,16,16x1,32770,8194,2050,8194,100,15,0.669954949,149.263768,4.007992e+10
manual,16,8x2,32770,8194,4098,4098,100,1,0.675417422,148.056590,3.975577e+10
manual,16,8x2,32770,8194,4098,4098,100,2,0.677923560,147.509256,3.960880e+10
manual,16,8x2,32770,8194,4098,4098,100,3,0.680805007,146.884936,3.944116e+10
manual,16,8x2,32770,8194,4098,4098,100,4,0.679519892,147.162726,3.951575e+10
manual,16,8x2,32770,8194,4098,4098,100,5,0.679467932,147.173980,3.951877e+10
manual,16,8x2,32770,8194,4098,4098,100,6,0.681670039,146.698541,3.939111e+10
manual,16,8x2,32770,8194,4098,4098,100,7,0.679753612,147.112127,3.950216e+10
manual,16,8x2,32770,8194,4098,4098,100,8,0.680116554,147.033622,3.948108e+10
manual,16,8x2,32770,8194,4098,4098,100,9,0.680124042,147.032003,3.948065e+10
manual,16,8x2,32770,8194,4098,4098,100,10,0.679395062,147.189766,3.952301e+10
manual,16,8x2,32770,8194,4098,4098,100,11,0.680456122,146.960247,3.946138e+10
manual,16,8x2,32770,8194,4098,4098,100,12,0.680354812,146.982131,3.946726e+10
manual,16,8x2,32770,8194,4098,4098,100,13,0.681076146,146.826461,3.942546e+10
manual,16,8x2,32770,8194,4098,4098,100,14,0.681692890,146.693623,3.938979e+10
manual,16,8x2,32770,8194,4098,4098,100,15,0.680478207,146.955478,3.946010e+10
manual,16,4x4,32770,8194,8194,2050,100,1,2.192199833,45.616279,1.224876e+10
manual,16,4x4,32770,8194,8194,2050,100,2,0.681203005,146.799118,3.941811e+10
manual,16,4x4,32770,8194,8194,2050,100,3,0.680536313,146.942930,3.945673e+10
manual,16,4x4,32770,8194,8194,2050,100,4,0.681243641,146.790361,3.941576e+10
manual,16,4x4,32770,8194,8194,2050,100,5,0.682375996,146.546773,3.935036e+10
manual,16,4x4,32770,8194,8194,2050,100,6,0.682612114,146.496082,3.933674e+10
manual,16,4x4,32770,8194,8194,2050,100,7,0.681660850,146.700518,3.939164e+10
manual,16,4x4,32770,8194,8194,2050,100,8,0.683234112,146.362716,3.930093e+10
manual,16,4x4,32770,8194,8194,2050,100,9,0.682681681,146.481153,3.933274e+10
manual,16,4x4,32770,8194,8194,2050,100,10,0.682923597,146.429264,3.931880e+10
manual,16,4x4,32770,8194,8194,2050,100,11,0.683539608,146.297301,3.928337e+10
manual,16,4x4,32770,8194,8194,2050,100,12,0.682927627,146.428400,3.931857e+10
manual,16,4x4,32770,8194,8194,2050,100,13,0.683065671,146.398808,3.931062e+10
manual,16,4x4,32770,8194,8194,2050,100,14,0.682350492,146.552250,3.935183e+10
