precision,nx,ny,nz,wall_time_s,internal_time_s,memory usage [byte]
16,16,16,10,0.023213827,0.003176392,20480
16,32,32,10,0.01629737,0.006353026,81920
16,64,64,10,0.019907179,0.00964104,327680
16,128,128,10,0.031053603,0.019845215,1310720
16,256,256,10,0.057120972,0.042170002,5242880
16,512,512,10,0.164535827,0.134198702,20971520
16,1024,1024,10,0.71009442,0.602493189,83886080
16,2048,2048,10,10.23898292,9.9216506,335544320
16,4096,4096,10,67.26505709,66.05598556,1342177280
16,8192,8192,10,518.8580558,514.1109954,5368709120
32,16,16,10,0.016538559,0.00318744,40960
32,32,32,10,0.019236487,0.006416224,163840
32,64,64,10,0.026815827,0.009841691,655360
32,128,128,10,0.040185591,0.020898064,2621440
32,256,256,10,0.098146504,0.050042594,10485760
32,512,512,10,0.231224976,0.19825945,41943040
32,1024,1024,10,1.267792255,1.173526999,167772160
32,2048,2048,10,20.77170968,20.45373679,671088640
32,4096,4096,10,131.3218582,130.1464991,2684354560
32,8192,8192,10,1050.22836,1045.900081,10737418240
64,16,16,10,0.013631459,0.003199382,81920
64,32,32,10,0.016770588,0.006525796,327680
64,64,64,10,0.021100107,0.009986467,1310720
64,128,128,10,0.046592361,0.022980019,5242880
64,256,256,10,0.083814281,0.065561996,20971520
64,512,512,10,0.355707719,0.305572874,83886080
64,1024,1024,10,3.761378129,3.608550373,335544320
64,2048,2048,10,33.73465896,33.14471603,1342177280
64,4096,4096,10,268.1660559,266.0728199,5368709120
64,8192,8192,10,2047.088665,2039.349147,21474836480
